Level,Column,Location,Samples,Groups,States,Chi-square,dof,p-value,Level FDR p-value,Global FDR p-value,Significant (global FDR<0.05)
1,25,SNP_000148,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,121,SNP_000550,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,122,SNP_000552,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,129,SNP_000561,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,208,SNP_001131,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,219,SNP_001158,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,252,SNP_001368,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,255,SNP_001414,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,274,SNP_001503,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,375,SNP_002096,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,562,SNP_003105,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,589,SNP_003210,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,691,SNP_003706,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,694,SNP_003710,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,758,SNP_003934,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,794,SNP_004103,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,873,SNP_004515,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,939,SNP_004811,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,967,SNP_004983,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,992,SNP_005069,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1037,SNP_005353,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1104,SNP_005897,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1121,SNP_005961,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1203,SNP_006445,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1726,SNP_008971,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1823,SNP_009363,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,1976,SNP_009962,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2087,SNP_010250,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2103,SNP_010354,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2141,SNP_010511,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2277,SNP_011278,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2398,SNP_011835,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2461,SNP_012079,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2631,SNP_013146,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
1,2675,SNP_013400,100,6,2,100.00000000000001,5,5.2851483609431804e-20,2.8961643265976214e-18,8.688492979792864e-18,True
